class,comment_text
0.0,"Right, and (these """"white-boy misogynists right here and right now"""") they're blowing up children, covering their women in burlap, enslaving their enemies, and hacking off heads willy-nilly?  Do you really believe there is some equivalency to conservative Catholic views and ISIS?  Its self-loathing like this that will be the end of our society.  Hope a) you're not female, or b) have any female loved-ones when they come for you.
"
0.0,"Well actually by definition he is a terrorist. Maybe a 'child' terrorist, but what's an adjective? Was not in uniform and was not fighting for any recognized sovereign state.
"
0.0,"Somebody wrote that technology will make the combustion engine obsolete, that you can't stop that progress and the adjective """"immature"""" best applies to anyone who sticks their head in the sand rather than acknowledging the reality that is coming over the next decades.  Really?  I would love that post writer to predict what will be powering passenger jets that fly at 500 miles and hour and what will be powering spaceships that leave Earth's orbit for the Moon and Mars and beyond.  See, the engineers with some smarts about combustion are kinda having a hard time getting those two activities to run on solar/wind electric...
"
0.0,"Great column! I really enjoy reading and learning from it !
"
0.0,"Don't send them to the muslim meat grinders in the ME or Africa.
"
0.0,"I am a straight Catholic woman living in community with two gay women, one of them also Catholic. We are all professionals with more than a hundred years of service to the community between us. I know nothing of their """"bedroom activities"""", as Tom Z sums up their identity as gay women. They are not interested in having anyone know anything about their """"bedroom activities"""". Asked about their lives, they speak of the essential work they do in the community (we are a social worker, a doctor and a lawyer) and the loving home life that fills and heals their hearts and souls, allowing them to serve the community the next day. For people like Tom Z, they announce their """"bedroom activities"""" when they introduce themselves as a family. For me, when they identify themselves as a loving family committed to serving the community, they announce the beauty of family and the shared joy of serving the community, EVEN the people who reject them. They are the most Christian, generous women I know.
"
0.0,"Run amok wrote: """"This is only one side of the story""""  You may or may not be correct.  Time will tell, assuming that there is a truly fair and impartial investigation.
"
0.0,"Without demand for and sales of the product or services there is no profit either.  Businesses don't produce jobs. Consumers do. Consumers need money to purchase the product.  If they are not paid enough to do so, sales fall. See Henry Ford for the best example.  He knew he had to pay workers enough to afford the cars they were making. It seems to have worked.
"
0.0,"I think he changed his name to Godot
"
1.0,"Alex:  Everyone can argue this and that, it does not matter boyfriend or not, friend with privileges or not, disgruntled lover whatever.  The bottom line is, NUDE photos, SEX photos, SEX explicit photos,  should NEVER by taken in the first place.  This is TOTALLY sick and PERVERTED behavior by one and all who commit this type of behavior...............  Read the Sign:  NEVER be TAKEN....................
"
0.0,"Prosecutors that do not care about the truth?   Ones that do not care if you are guilty or not?  Ones that have no problems fabricating charges, just so long as there is something to charge their victim with?  Ones that will ignore crimes if they do not fit in with their preconceived narrative?
"
0.0,"My political differences with Obama end at the border.  Disrespecting our President is disrespecting all Americans.
"
0.0,"Was expecting more . Not just  re hash of what we know already . """" Many want to reclaim back their country. How is this to be achieved? """" No answers or suggestions .Not one , nothing , nada , zero, zilch . A """" unifying vision """" ? Is that it ?
"
0.0,"This is a small step toward DRAINING THE SWAMP.  Next is to stop government agencies from paying off student loan debt for employees and their relatives.  First look into the IRS.
"
0.0,"Trump and Trudeau meeting .....the """"meeting of the empty minds"""". Trudeau could fix Donald's hair, Donald could show Justin how to make a circle with his first finger and his thumb to emphasize a non existent point. Justin could teach Donald how to really wear and tie a necktie...oh maybe not he doesn't bother much with ties being the outdoor millionaire that he is. They could compare rich friends...Donald has a few ..well more than a few....like Putin and of course Justin is in tight with the Aga Khan ...the world's number one cult leader. I doubt anything will come of this meeting unless they share """"middle class """" jokes and religious fairy tales.
"
0.0,"Which would be dealt with by a HOA.  Zoning laws and court most likely just made him stop running the business. Area is zoned Residential not Commercial or Industrial which would allow a salvage business to operate.  If he is no longer operating a business this is simply an asthetics issue on private property.  We should all be nervous if Government of any sort decides it can enter your personal property and seize your personal property at will.  One man's junk is another mans treasure.  Is he dumping oil or hazardous materials? Call DEC another resource for environmental subject matter.
"
0.0,"His problem with this lawsuit is based largely on the actions taken by Nest Labs.  Had an employee of Nest Lab become aware of the acts recorded on their system, the company would have been obligated to contact the FBI in any case.  Once aware of the situation, the company had no choice and no duty to allow Patrakis back on the system in case he tried to destroy the evidence.  In fact, the legal guardians of the teenager and child now have a cause of action against Patrakis and will probably use this evidence to sue him to get his assets to pay for the damage done to these children.  I hear that child molesters don't do very well in prison.
"
0.0,"Ahem.... ladys and gentlemen, braddahs and sistahs. What we have here is a cut and dry case of the Kalakaua syndrome. Just another Merry Monarch who wants good for the people and likes to have a good time as well.  Nothing wrong with that in my opinion. We elected him, and im sure many would elect him again. If youre even a remotely logical individual and happen to also be a politician in a place like Hawai'i you see the """"problem(s)"""". Alcohol comes with the job.
"
0.0,"I was going to made a similar post but yours is much better than what I could've come up with.  The racists moved over to the left not the right.
"
0.0,"Most members of a church are not employed by the church, but rather they identify with that particular denomination through a bond of faith.  A corporation is in business as a """"for profit"""" organization, but churches are by and large """"non-profit"""" entities which among other things provide human services to those in need.  People are employed by a corporation because they need to make money to meet their needs and the needs of family members.  Members of faith groups are people who see an obligation to meet the needs of the less fortunate in their communities. Although there are rare exceptions most """"legitimate"""" churches express their faith through works of love and charity.  I do agree with you though that more of the care of the truly needy should be taken on by the private sector because government programs have such enormous waste and they cannot provide the one-one-one care that is the hallmark of private """"non profit"""" organizations.  Your analogy is, indeed, weak.
"
0.0,"People need to get behind Obama, Hillary and Justin and have a open debate with Trump and the Klan
"
0.0,"This is nothing new. Our leaders we elect continue doing what is best for the 1%  n the working people or poor can fend for themselves. They say they work for the people of Hawaii but there actions speak otherwise. When are the people of Hi. going to step up! Does any body care what's happening to Hawaii?
"
0.0,"""""while other people shouldn't have the right to demonstrate their disagreement with her ideas"""" Yeah funny how people draw the line at physical injury isn't it? Just cause you throw a few bricks and  M80's and administer a few beatings they start saying you're interfering with free speech.
"
0.0,"Stop lying, Mr Mcgee.  Wikipedia shows that you and your sources are mendacious.  """"The term Lügenpresse has been used intermittently since the 19th century in political polemics in Germany, by a wide range of groups and movements in a variety of debates and conflicts.[1]""""  https://en.wikipedia.org/wiki/Lying_press
"
0.0,"So you are saying we have to choose between a missile defense (that doesn't work 50% of the time) and health care? We can't have both?
"
0.0,"Guess you could use the criminals own PFD to send them packing.  A one- way ticket back from whence they came!  Why should murderers and thieves get to breathe the same air as good folks?
"
0.0,"You are incorrect, however, that is the """"explanation"""" that is accepted widely in the  mainstream culture, the """"they would have if they could have"""" defense. It's not true. I really can't explain why not in such a short space, but it has to do with very incorrect interpretations of some archeological finds that don't take into account anything else about their cultures.  There are other reasons Native people were not as creative with technology as Europeans and it's because their worldview and values were different.  Reading what Native people themselves had to say about their own views of their relationship to the world around them is also a source I use to inform my understanding.  What Native people do now doesn't change the historical facts of their cultures.    Historically they could not begin to match the sweeping, destructive plundering of European cultures for the simple reason that they thought the world didn't need changing, not because they couldn't.
"
0.0,"Obama broke the Law when he started allowing illegal aliens to flow into the USA. Just like when Obama invited illegal aliens to vote and told them they would not be prosecuted for it. youtube.com/watch?v=nfgEvgVC6Qs  Trump is only upholding his duty to protect the Constitution and American citizens, something Obama always refused to do.
"
0.0,"Rail bias appears to be unable to engage in a meaningful debate or discussion when faced with facts.  Such as raising a cost estimate from $5.2 billion to $6.9 billion only to be told by the FTA that it's more like $8.1  billion.  That makes $5.2 billion and $6.9 billion - """"dubious"""" or """"fake:.  And to choose rail that would entail more than double the cost of Managed Lane makes the choice """"rigged"""".  """"Rigged"""" because the estimated cost of rail  in Chapter 2 of the Environmental Impact Study (Page 2-8) was between $4.192 billion to $6.72 billion and nothing about the yearly cost of rail operations and maintenance which accumulates to billions in its lifetime.
"
0.0,"Lee being against slavery is pointless.  Its not outrage on my part. Lee was a good general and for his time wasn't a bad man.  However, he did lead troops against the United States and therefor wasn't a great hero.  One good thing for Lee was that he wanted the nation to come together after the war and wasn't in favor of confederate monuments because he thought they kept wounds open.  Many of those monuments were put up by segregationists later because they glorified the old days.  As such they reopened wounds that Lee wished to close.
"
0.0,"Leave it to somebody to find a way to downplay the immense and decades long oppression in China, by trying to compare it to Canada. Yes Canada , the country that is in the top ten and often top five of every country around the world as an example of everything that is good and sought after, is also  a country that practices oppression. Who knew that oppression can be branded , so that it doesn't look like oppression. It's a way too early in the morning for this kind of bar room philosophy , and mindless opinion.
"
0.0,"LTD, like so many other public agencies, can never seem to live within their own budget. Of course, they always insist that us common folk can simply make do with less, that we simply need to dig deeper. If we protest the latest shakedown, we are labeled selfish anarchists. I am sick to death of these corrupt Oregon Democrats. Peter Courtney never met a tax proposal he didn't like.  Kate Brown, Peter Courtney, they all need to go. We need to break the corruption cartel in Salem and elect some candidates that actually work for US.
"
1.0,"Post some links, George ... I don't think it's """"one despot and ignore another."""" It's one despot at a time, like whack-a-mole. ...
"
0.0,"From what I'm hearing,  the Democrats haven't fixed ObamaCare.
"
0.0,"What if the crooks family is homeless?
"
0.0,"Perhaps """"unknown sources"""" told him on the condition on anonymity because they were not authorized to speak.
"
0.0,"Struck a nerve, did they?  #triggered
"
0.0,"No.  I was however shocked so many voted for the racist Donald.  More than once or on a regular, the press has stereotyped my heritage. So believing in America's press or media is awash for me.  America voted in a racist. And now with Bannon on the team, I know Trump is a racist.  We were a great country. By the end of the decade, we will be laughed at. Cause we were once great and we tossed it out the window by a racist windbag we choose.
"
0.0,"It is not that simple, people can eat & live a perfect healthy lifestyle & still get sick or an illness like Rheumatoid Arthritis.  There is always the question whether a person's illness is caused by environment or genetics.  For some the reason is purely genetic & they will get sick no matter what.   RA is an auto-immune disease & it is genetic but there might be an environmental trigger like vog, stress, poor diet, etc.  Either way there is no real cure for RA just improved treatment for pain and reduce the self-destruction of joints and greatly reduced quality of life.   Better nutrition for everyone is always good but you still need doctors, nurses & a place for people, including the neighbor islands to get treated for various health problems WITHOUT the place going bankrupt.  The neighbor island hospitals when they where run by the State provided that service but went bankrupt using Hawaii tax money & most have been taken over by Queens or Kaiser.   Everything coming down to $$..
"
0.0,"Waldie once againt doesn't understand what is happening under his nose. To say that Macron's election shows the end of euroskeptic populism is inane. Not only Le Pen's voters belong into that category but also those who voted for Hamon, Melenchon and some minor ones as well. Secondly, Macon's notion of how to reinforce the EU runs smack into the face of the German's deepest held beliefs. Also the Germans want to see some serious restructuring in France before they enter on any more common adventures. So far, Macron hasn't done too well with those unions, in fact no-one ever has. The UK will suffer some turmoil as the negotiations proceed and find a challenging time afterwards. OTOH, they will be spared the disasters that will accompany the eventual breakup of this misconstructed beast the EU.  BTW, why should BR pay for project expenditures in the future?  When you quit an association you pay your dues and your accumulated bar bills and say goodbye.
"
0.0,"I hate hearing stories like this. My guess is a cardiomyopathic test will be run during autopsy and best bet is undiagnosed ARVD/C, which I was diagnosed with at age 21. This SUCKS. So sorry for the family.
"
1.0,"How many security briefings did this fool sit through and sign after?  Over 1,000 security violations is criminal.  Lock her up.
"
1.0,"It's not the taxpayers job to pay for your sex.  If you don't want to get pregnant, take the appropriate precautions.  Lisa is pathetic.  Always was, always will be.  Just like her pappy was as governor.....embarrassing.
"
0.0,"Dear Fikile, if we say your theory is correct then what have you actually done to correct such wrongs. You had an opportunity as Minister of Sport to develop previously disadvantaged sports scholars, sponsor school facilities and facilitate private investment into these schools but did none of it. You did not even try correct these wrongs but rather scream from the grand stands ordering others to act and change. You, as a top 1% earner, have never been charitable to rid our class battles and not even sponsored your domestic servants and direct reports to send their kids to better schools or universities. Instead you wait at the Gupta trough waiting for you hand out. Imagine you took the train carriage billions and built football pitches instead...so stop being a hypocrit and act as you instruct others to do. What unselfish effort or act have you ever done to help those less fortunate? Nothing ...ever despite your position to do so. Easier said than done
"
0.0,"The Wahines have to mirror our mens volleyball on what has been done over the last several years to compete with power teams from the mainland. The men have been very successful because of excellent foreign players. We are unable to compete today for the top tier talent and when the wahines were competitive recently we had some very good home grown talent.  Our present team is talented but they need a terminator.  Hopefully ,there is someone in Europe that we can get to augment our present team.  Hawaii is spoiled because of the Wahine success over the years.  Great coaching is good but talent will be the common denominator which will determine our success this year.
"
0.0,"Carbon emission credits were given out for free by California to favourite industries that successfully lobbied the state government. Now Ontario natural gas distributors will be forced to buy those credits and put the cost on the home heating bill of Ontario consumers. Anyone who claims that this will have any impact on climate, weather or temperature is either deluded or dishonest or a California carbon credits trader.
"
0.0,"Southern Povery Law Center on Breitbart:  Since its founding in 2007, Breitbart News Network has grown to become one of the most popular news outlets on the right.  Over the past year however, the outlet has undergone a noticeable shift toward embracing ideas on the extremist fringe of the conservative right. Racist ideas. Anti-Muslim and anti-immigrant ideas –– all key tenets making up an emerging racist ideology known as the “Alt-Right.”  The Alt-Right is a loose set of far-right ideologies at the core of which is a belief that “white identity” is under attack through policies prioritizing multiculturalism, political correctness and social justice and must be preserved, usually through white-identified online communities and physical ethno-states.
"
0.0,"Well,he must have mislaid his Prayer Book.And maybe it was just hot Water in that Cup.Coffee is also rather expensive.
"
1.0,"Ignorance can never be excused: it can only be cured. Trumpism is incurable...
"
0.0,"Most all concealed carry people practice good Gun Control.... They can hit what they are shooting at....
"
0.0,"Well Doubting Dick, do your own research. Or do you need women to do the heavy lifting for you?
"
1.0,"what an unrealistic pile of male bovine excrement
"
0.0,"Yes, probably.  Maybe they ultimately went hoping to see him perform a miracle.  Or for social bonding like the Protestants do.
"
1.0,"My mom used to always say """"Oh, go suck an egg!""""  http://www.phrases.org.uk/bulletin_board/44/messages/45.html
"
0.0,"Right. We should do the same with our homeless, ages, disabled and young.  Oops, nazis already tried that.
"
0.0,"This is very funny! But ouch, there are those of us who have gone without since the excise tax kicked in courtesy of the mayor. Yes, the rail project would be laughable if it weren't so painful.
"
0.0,"Don't be concerned, Pandora, Holy Father Francis will meet with this group whether MSW and his liberal cronies want it or not.  He has already met with many groups of Pentecostal ministers at the Vatican, and did so when he was Archbishop of Buenos Aires.  I am an evangelical/pentecostal Catholic, and I'm sure Pope Francis will meet with them, and when that happens the heads here at NCR will EXPLODE.  And we'll have a good laugh!
"
0.0,"""""He did not cooperative..."""" Really...
"
0.0,"'There is almost no question that female deacons existed in the early church.'  Sigh.  We all know that’s not true.  Why do you say it? I’m on our parish council.  It’s pretty ineffectual, truth be told.  The only people who actually get things done are a couple of women.  They’re not deacons, in the sense of being sacramentally ordained.  Does it matter?  They get things done. The elites of western society have adopted the absurd notion of ‘gender equality’—absurd, because it’s unheard of in any other species in nature, or in human history.  It’s doomed to failure, because it violates human nature.  As a church, we shouldn’t capitulate to the ideology of a decadent, doomed society.
"
0.0,"The optics here are really bad even if the actions are technically legal. Justin really must take immediate action. And this is from the point of view of a Liberal supporter.
"
0.0,"The idea is to unlock some needed dough for the cash strapped Libs. Who cares about airport users, right?
"
0.0,"Surprise!  Here is an incorrigible businessman expecting to drastically transform the political venue, but without timely change in himself.  Wasn't Sessions a consummate politician since forever?  Omigosh, having relied upon one's business hubris, what could possibly have gone politically wrong here?
"
0.0,"""""...she offers no empirical basis or evidence for her conclusions...regarding the Anglican church!""""  Well, your opinion is not unprecedented. To each his own, especially in a post!  You can read the whole article in ABC RELIGION AND ETHICS, 8 Nov. 2016. Woodhead does base her research on the 2015 British Election Study, which noted that less than a third of UK people identity as Anglican, whose average age is 54; that the Anglican population plunged from 44.5% in 1983 to 19% this past year. Other studies have noted that the 2000 pre-Reformation Churches in England have fewer than 10 worshippers, and 8,000 more can barely muster 20.  Also, we have the warning of the former archbishop of Canterbury, G. Carey: the Church of England is """"a generation away from extinction."""" So I don't think her conclusions have no basis at all; her study makes good  use of the GOVERNMENT charts of decline. (Gov.  charts do count since the Church of England is a state church, an arm of the government.)
"
0.0,"Is the islamic state going to start funding the NRA? I wouldn't be surprised.
"
0.0,"Thanks to all the volunteers.
"
0.0,"Who would take the word of a born liar?  Endlessly  embarrassing for the GOP - as we all can see.
"
0.0,"how are you posting from a Federal Pen?
"
0.0,"Race is always the most important factor when considering one's resume.  Experience and accomplishments be damned, full speed ahead with the race card, it's all you need.
"
0.0,"and don't forget the """"family trusts"""" and any other private corporations and unmentioned assets as well.
"
0.0,"Dear ADN,, your comments sections have become a joke, again. See below. The buffoonish comments are not conversation, opinion, or an attempt at intelligent expression of thought. I think an adjustment is in order.
"
0.0,"Definitely, KPMG deserved this and they lost their faith from the public and its reputation is also ruined from SA and if they wanna come clean which requires full disclosure only then it might get back trust.
"
0.0,"The usual CONservative misogynists spew their anti-female anything diatribes from their bunkers while ignoring the historical aspects contained within Elise's fine essay.  While Hillary's nomination is the most current event, much more important are the differences between today and, not so distant, yesterday in this country as listed in the text.  Despite so many institutional failures over the course of the years, the human desire for real equality, freedom, and human rights continues to pound against the walls of exclusion, ignorance, stupidity and indentured servitude.  Keep up the good work, Elise.
"
1.0,"As others here have wisely pointed out, this is just a convenient """"Wag the dog"""" op for both reviled leaders to try to bolster domestic support for their combined idiocy. It's nothing more than two fat guys waving their tiny di... um... pri.... um... missiles at each other. Meanwhile, NK and US media both play it up for ratings and because fear is so much more fun than the good stuff going on in the world.  Relax, people, and resume your regular pointing and laughing at the Dump in the WH.
"
0.0,"Hilarious..all the """"yes but Harper.."""" deflections..  Try living in the present it will do wonders for you...
"
0.0,"Can someone please tell me what """"Uranium One"""" refers to?  Is Mr. Pitner """"Uranium One""""?  Sort of like """"I am Iron Man""""?  """"Look!  It's Uranium One!""""  Maybe the rubber suit came from the wardrobe of Uranium One.  What?
"
0.0,"Civil Beat has this 'audience development editor' well trained.  She knows that CB readers don't want evenhanded journalism.  Nope, CB readers want an article like this to have more Tweets which are anti-Trump than pro-Trump.  Nice job, Landess.  You might get a free Bernie Sanders t-shirt as a bonus.
"
0.0,"Then why the Trudeau push to ramp up immigration significantly?  More people....lots more people...will all use copious amounts of electricity.  Our use of LED light-bulbs and energy efficient appliances will be more than offset by a fraction of the extra immigrants brought in by Trudeau's policy.  Makes me wonder, why even bother?
"
0.0,"Jim:  DW is """"right"""",  However, if, instead,  we started removing the Red """"flyover states"""" instead and got to the same population removal,  Clinton would not only have won the popular vote, she would have won the EC vote by a landslide.  We can all devise those """"if, instead"""" propositions, but they're really meaningless.  We all get to vote and our vote is translated to the EC votes state by state.  Like it or now, that's the way it's done.  If we were to change to popular vote the entire profile of campaigns would change and the less populous states wouldn't ever see a candidate..... regards, and wishing us all a lot of luck over the next four years.....Gary
"
0.0,"Gretchen Gould save your conplaints for the historic district of Honolulu.... too many old buildings have been lost.
"
0.0,"I looked at the pictures and the person with the Canadian flag clearly appears to be trying to free the assaulted victim from the five attackers. Four are laying the boots to him while a fifth is holding him down.  Looking at the various footage on the internet the M103 supporters were the one's that police needed to escort away so it's quite safe to say they were the masked criminals doing the assaulting.  Police don't disband peaceful protestors.  Stop endorsing and justifying violence while discouraging peaceful protest which is a fundamental Canadian right.
"
0.0,"Commuter traffic on  Union Hill Road  is very heavy. I have worked  at Millennium  location   (across  from UPS  ) and it can be very difficult  to pull  into the parking lot  in the early morning  . But I guess Costco  will not be open then?
"
0.0,"Mr. Trudeau treats women as equals; Trump does not. Trump needs to be removed as the Republican candidate for President.
"
0.0,"Is anyone surprised that socialism has no place in the US?  All that money spent on bad law with bad results and Dems still call it a success.
"
0.0,"As usual, the Glob gets it completely wrong and understands absoltely nothing about the world around them. This article is just wishful thinking of some US think tank and the everyday anti-Russia hysteria of the Glob.  The killing of Russian diplomat will bring Turkey and Russia closer - some newspapers actually analyse without using the default Washington narrative. https://www.theguardian.com/world/2016/dec/19/why-killing-of-russian-diplomat-is-likely-to-bring-turkey-and-russia-closer
"
0.0,"That is the basic argument of the Free Traders (like both the Clintons).  Unfortunately, the old saw that """"You can't make an omelette without breaking a few eggs"""" is also apropos.  A lot of US workers are going to have to take it in the shorts for this wondrous future to come to pass.  Their dissatisfaction is readily apparent in this year's Presidential race.  Do 'they' trust Hillary or Trump on this one?  I think they need to ask about what she promised to Wall Street at $250,000+ per speech.   That's much more important than his Schedule """"C"""" tax return.
"
0.0,"""""Former Liberal organizer Jacques Corriveau’s conviction on three fraud-related charges marks the end of the criminal cases linked with the federal sponsorship scandal, a Crown prosecutor said Tuesday.  A jury found Corriveau guilty of fraud against the government, forgery and laundering proceeds of crime between 1997 and 2003.""""  But no comments folks.  Also no comments any more on the criminal charges finally laid in connection with the Sudbury bribery scandal.  Just be quiet folks - nothing going on with Liberals and your money that you need to be talking or typing out loud about.
"
0.0,"OK So you think a special pleading fallacy - pulling the victim card - means you can engage in whatever racism you so choose.
"
0.0,"Perhaps you should learn from your future father-in-law.  He has been around longer than you have.  Maybe his views have some merit.
"
0.0,"What no mention of Climate Change in the demise of the Belugas?
"
0.0,"Has to be the strangest town in the US.
"
0.0,"Algore's latest fake movie is a dud.
"
0.0,"Why is Hillary Rodham Clinton not in jail? She put over 100 classified and top secret e-mails on her unsecure private e-mail server, clear federal felonies. Others have been put in jail for far less. Is Hillary Rodham Clinton somehow above the law?
"
0.0,"Wow! Bootsy, Berghdoggie, K. and MickyG all here today.  The combined intellectual firepower of these giants are too much for me.  I'm outta here.
"
0.0,"Just for the sake of accuracy, Obama spent a year bribing, lying and cheating Americans to push the UACA down the throats of Americans. Wooed both parties? It passed with 100% democrat for and 100% republican against. As for getting butt kicked, as you pointed out, Obama spent (actually more than) a year with falsification of this BS plan and trump has been at it only 2 months, well one month if you observe the fact that he was busy doing other things the first month.
"
0.0,"Mr Morris, I don't mean to belittle McDonalds employees but if McDonalds is on someone's resume they are overqualified to be an ADN journalist.
"
0.0,"Thank you for a great column.  The only people laughing now is the Pacific Resourse Partnership, the Carpenters Union, and all the lobbyists that paid to get Kirk Caldwell elected.😭
"
0.0,"Without credible sources, your claims are scurrilous at best.  FBI factoid:  Young black males are six times more likely to commit violent crime than their white counterparts.  We need to ask why.  http://www.colorofcrime.com/2016/03/the-color-of-crime-2016-revised-edition/  The problem is fatherless homes.
"
0.0,"This is a sad era..but not without opportunities. The US culture and capitalism is manifestly toxic. Our dependence on them will be our downfall. Our resources are stupendous (and growing without melting North) in a world rapidly running out of resources. The USA, Russia and Europe are casting covetous eyes on our lands.  We need to tighten the belt, quickly expand our northern presence, make and remake friendships where Harper only made us enemies. Trade with others..loosen US control on everything we hold dear. Become a leader for the good things in the world. Be a beacon of hope. Maybe the result can stop the greedy ones from spliting us up between themselves.  As for the """"Canadian"""" trumpists, there is nothing attractive in the future they scream about. Is there any way we can get them leave?
"
0.0,"Peaceful protests are the only way to go....consider the """"He's Not My President"""" marches of a a few months ago.  The frustration of so many citizens was made very clear without vandalism and craziness.  I believe it's necessary for people to take to the streets when they feel so powerless but it's time to hold Gandhi up as our role model and hope that world leaders will take time to meet with representatives of the protesters if it's calmer and everyone can feel safe.
"
0.0,"From each according to his ability, to each according to his need, right?
"
0.0,"It was a Scion and they flipped before they hit the pole. What would your analysis be? Can you predict in what direction a car will go when it flips? Unless it was a tire blowout or medical condition, high speed is a reasonable assessment. Stop blaming the rail fixtures, an inanimate object, that did not cause the car to flip and then jump in front of the car. RIP young ones, and God comfort their families.
"
0.0,"I don’t need another chance, you do!  President Trump interviewed more than 10 candidates for Secretary of State. He not only met them but vetted them. Your poorly phrased criticism is uninformed.
"
0.0,"According to the CBO, 16 million Americans would lose their health care insurance in the first year under the proposed """"skinny repeal."""" Do the math.
"
0.0,"Protestant denominations with married clergy are hardly booming with vocations. More liberal and heterodox dioceses have way fewer vocations than those that embrace the actual teachings of the Church. Traditional churches are overflowing, while Marty Haugen Masses continue to hemorrhage parishioners due to no sense of the sacred.  You will know them by their fruits.
"
0.0,"He didn't say """"as to the campaign"""" he said no contact was made. He did t say no contact was made regarding the campaign, he said no contact was made at all.
"
0.0,"Our tax money also paid for the Pali Hwy and all those Likelike and H-3 tunnels, and you are complaining of the use of OUR tax money for the rail metro project.
"
0.0,"The dividend was supposed to be compensation to the resident for stripping them of their individual right to claim and profit off of state-owned land containing natural resources. Because those rights are not going to be restored, the dividend system should remain the same as it has. The promise to make it worthwhile was supposed to span generations, and since my children are also going to be prohibited from using all natural resources on state-owned land, we should not be making changes that will remove their compensation for the exchange. Now, if we boot all producers out, and make all state land available for the claim process with full rights and protections, then I can agree with reallocating the fund.
"
0.0,"VJ is a new coach but I also thought he was supposed to instill a 'bad ass' attitude in the team?  The D is doing its part.  But at some point they get tired being on the field 70% of the game.  And since the O-line cannot do its job should we need a mobile QB.  Colin Kaepernick, anyone?
"
0.0,"You have no credibility here after I exposed your fake facts.
"
1.0,"Whether moral duty """"should"""" drive healthcare or not, it does, just as ethical duty does. It must. Otherwise, we're  a nation of psychopaths. Which are you?
"
0.0,"While I agree with comments made here by my fellow Americans; she is just the tip of the spear, their had to be others in the party that either encouraged/supported her.  My observation is their seems to have developed a deeper fear of Pres. Trump's success, within the Republican party than dems.
"
0.0,"This article sums everything up quite well at this point: allegations........
"
0.0,"This goes WAY past naive
"
0.0,"Aleppo's """"rise"""" or """"fall', depending on perspective, is about as significant as Palmyra's """"fall"""" or """"rise.""""
"
1.0,"He must lose his security clearance. And Trumpo needs to be fired. It didn't take long to find out that all of them are... losers.
"
